-10.00000 -879164.64257
-9.79798 -793468.26254
-9.59596 -714583.50244
-9.39394 -642122.70562
-9.19192 -575602.20122
-8.98990 -514751.37826
-8.78788 -459136.85458
-8.58586 -408447.85005
-8.38384 -362337.39037
-8.18182 -320477.29481
-7.97980 -282587.52472
-7.77778 -248371.38751
-7.57576 -217552.99688
-7.37374 -189828.62411
-7.17172 -165042.43622
-6.96970 -142917.28908
-6.76768 -123213.20690
-6.56566 -105741.30694
-6.36364 -90317.70651
-6.16162 -76758.53683
-5.95960 -64858.49698
-5.75758 -54479.45702
-5.55556 -45485.67779
-5.35354 -37715.38216
-5.15152 -31055.57293
-4.94949 -25345.69872
-4.74747 -20526.28228
-4.54545 -16436.71554
-4.34343 -13051.66051
-4.14141 -10230.44083
-3.93939 -7945.99252
-3.73737 -6084.46283
-3.53535 -4560.64822
-3.33333 -3375.60206
-3.13131 -2441.01056
-2.92929 -1718.61573
-2.72727 -1194.54594
-2.52525 -799.20350
-2.32323 -513.25791
-2.12121 -337.70629
-1.91919 -184.54300
-1.71717 -104.45127
-1.51515 -44.75725
-1.31313 -8.64289
-1.11111 2.23367
-0.90909 12.04464
-0.70707 13.50375
-0.50505 1.50744
-0.30303 20.58406
-0.10101 -18.73919
0.10101 14.06055
0.30303 16.05033
0.50505 17.84945
0.70707 24.37672
0.90909 29.07605
1.11111 42.19097
1.31313 73.50866
1.51515 133.50622
1.71717 202.16444
1.91919 316.95583
2.12121 491.38855
2.32323 733.64708
2.52525 1100.15300
2.72727 1579.09277
2.92929 2202.31534
3.13131 3021.42331
3.33333 4089.31946
3.53535 5445.30131
3.73737 7111.28187
3.93939 9203.37485
4.14141 11733.25794
4.34343 14837.53712
4.54545 18557.02945
4.74747 22988.29207
4.94949 28207.62842
5.15152 34361.47676
5.35354 41535.93022
5.55556 49872.57751
5.75758 59492.56184
5.95960 70567.27956
6.16162 83237.25574
6.36364 97645.80726
6.56566 113971.72187
6.76768 132451.63295
6.96970 153248.63393
7.17172 176562.25933
7.37374 202659.78576
7.57576 231769.96402
7.77778 264100.59811
7.97980 299959.95348
8.18182 339637.97679
8.38384 383385.87223
8.58586 431520.07177
8.78788 484417.93821
8.98990 542348.82218
9.19192 605708.44884
9.39394 674841.00173
9.59596 750177.13839
9.79798 832103.33236
10.00000 920999.88292
